#  step      rmse_val    rmse_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   3280      5.63e+01    2.73e+00      1.78e+00    8.64e-02    5.0e-04
   3290      4.48e+01    4.95e+00      1.42e+00    1.57e-01    5.0e-04
   3300      5.21e+01    5.40e+00      1.65e+00    1.71e-01    5.0e-04
   3310      4.96e+01    4.29e+00      1.57e+00    1.36e-01    5.0e-04
   3320      4.76e+01    1.17e+01      1.51e+00    3.69e-01    5.0e-04
   3330      4.88e+01    3.87e+00      1.54e+00    1.22e-01    5.0e-04
   3340      4.55e+01    2.56e+00      1.44e+00    8.09e-02    5.0e-04
   3350      4.78e+01    3.62e+00      1.51e+00    1.15e-01    5.0e-04
   3360      4.08e+01    3.46e+00      1.29e+00    1.09e-01    5.0e-04
   3370      4.96e+01    5.07e+00      1.57e+00    1.60e-01    5.0e-04
   3380      4.28e+01    7.77e+00      1.35e+00    2.46e-01    5.0e-04
   3390      4.44e+01    3.44e+00      1.40e+00    1.09e-01    5.0e-04
   3400      5.05e+01    6.01e+00      1.60e+00    1.90e-01    5.0e-04
   3410      5.35e+01    4.37e+00      1.69e+00    1.38e-01    5.0e-04
   3420      4.77e+01    5.40e+00      1.51e+00    1.71e-01    5.0e-04
   3430      4.56e+01    3.17e+00      1.44e+00    1.00e-01    5.0e-04
   3440      4.93e+01    3.67e+00      1.56e+00    1.16e-01    5.0e-04
   3450      4.49e+01    6.51e+00      1.42e+00    2.06e-01    5.0e-04
   3460      4.98e+01    3.59e+00      1.57e+00    1.13e-01    5.0e-04
   3470      4.70e+01    5.42e+00      1.48e+00    1.71e-01    5.0e-04
   3480      4.71e+01    5.65e+00      1.49e+00    1.79e-01    5.0e-04
   3490      5.33e+01    6.67e+00      1.69e+00    2.11e-01    5.0e-04
   3500      5.21e+01    3.91e+00      1.65e+00    1.24e-01    5.0e-04
